grep: warning: GREP_OPTIONS is deprecated; please use an alias or script
W0307 14:05:18.291982 26198 gpu_resources.cc:85] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 11.2, Runtime API Version: 11.2
W0307 14:05:18.295578 26198 gpu_resources.cc:115] device: 0, cuDNN Version: 8.2.
I0307 14:05:19.364007 26198 interpretercore.cc:279] New Executor is Running.
I0307 14:05:19.364921 26198 interpreter_util.cc:619] Standalone Executor is Used.
problem_size.n()=32 , threadx=6, thready=0
problem_size.n()=32 , threadx=7, thready=0
problem_size.n()=32 , threadx=8, thready=0
problem_size.n()=32 , threadx=9, thready=0
problem_size.n()=32 , threadx=10, thready=0
problem_size.n()=32 , threadx=11, thready=0
problem_size.n()=32 , threadx=12, thready=0
problem_size.n()=32 , threadx=13, thready=0
problem_size.n()=32 , threadx=14, thready=0
problem_size.n()=32 , threadx=15, thready=0
problem_size.n()=32 , threadx=16, thready=0
problem_size.n()=32 , threadx=17, thready=0
problem_size.n()=32 , threadx=18, thready=0
problem_size.n()=32 , threadx=19, thready=0
problem_size.n()=32 , threadx=20, thready=0
problem_size.n()=32 , threadx=21, thready=0
problem_size.n()=32 , threadx=22, thready=0
problem_size.n()=32 , threadx=23, thready=0
problem_size.n()=32 , threadx=24, thready=0
problem_size.n()=32 , threadx=25, thready=0
problem_size.n()=32 , threadx=26, thready=0
problem_size.n()=32 , threadx=27, thready=0
problem_size.n()=32 , threadx=28, thready=0
problem_size.n()=32 , threadx=29, thready=0
problem_size.n()=32 , threadx=30, thready=0
problem_size.n()=32 , threadx=31, thready=0
problem_size.n()=32 , threadx=0, thready=2
problem_size.n()=32 , threadx=1, thready=2
problem_size.n()=32 , threadx=2, thready=2
problem_size.n()=32 , threadx=3, thready=2
problem_size.n()=32 , threadx=4, thready=2
problem_size.n()=32 , threadx=5, thready=2
problem_size.n()=32 , threadx=6, thready=2
problem_size.n()=32 , threadx=7, thready=2
problem_size.n()=32 , threadx=8, thready=2
problem_size.n()=32 , threadx=9, thready=2
problem_size.n()=32 , threadx=10, thready=2
problem_size.n()=32 , threadx=11, thready=2
problem_size.n()=32 , threadx=12, thready=2
problem_size.n()=32 , threadx=13, thready=2
problem_size.n()=32 , threadx=14, thready=2
problem_size.n()=32 , threadx=15, thready=2
problem_size.n()=32 , threadx=16, thready=2
problem_size.n()=32 , threadx=17, thready=2
problem_size.n()=32 , threadx=18, thready=2
problem_size.n()=32 , threadx=19, thready=2
problem_size.n()=32 , threadx=20, thready=2
problem_size.n()=32 , threadx=21, thready=2
problem_size.n()=32 , threadx=22, thready=2
problem_size.n()=32 , threadx=23, thready=2
problem_size.n()=32 , threadx=24, thready=2
problem_size.n()=32 , threadx=25, thready=2
problem_size.n()=32 , threadx=26, thready=2
problem_size.n()=32 , threadx=27, thready=2
problem_size.n()=32 , threadx=28, thready=2
problem_size.n()=32 , threadx=29, thready=2
problem_size.n()=32 , threadx=30, thready=2
problem_size.n()=32 , threadx=31, thready=2
problem_size.n()=32 , threadx=0, thready=1
problem_size.n()=32 , threadx=1, thready=1
problem_size.n()=32 , threadx=2, thready=1
problem_size.n()=32 , threadx=3, thready=1
problem_size.n()=32 , threadx=4, thready=1
problem_size.n()=32 , threadx=5, thready=1
problem_size.n()=32 , threadx=6, thready=1
problem_size.n()=32 , threadx=7, thready=1
problem_size.n()=32 , threadx=8, thready=1
problem_size.n()=32 , threadx=9, thready=1
problem_size.n()=32 , threadx=10, thready=1
problem_size.n()=32 , threadx=11, thready=1
problem_size.n()=32 , threadx=12, thready=1
problem_size.n()=32 , threadx=13, thready=1
problem_size.n()=32 , threadx=14, thready=1
problem_size.n()=32 , threadx=15, thready=1
problem_size.n()=32 , threadx=16, thready=1
problem_size.n()=32 , threadx=17, thready=1
problem_size.n()=32 , threadx=18, thready=1
problem_size.n()=32 , threadx=19, thready=1
problem_size.n()=32 , threadx=20, thready=1
problem_size.n()=32 , threadx=21, thready=1
problem_size.n()=32 , threadx=22, thready=1
problem_size.n()=32 , threadx=23, thready=1
problem_size.n()=32 , threadx=24, thready=1
problem_size.n()=32 , threadx=25, thready=1
problem_size.n()=32 , threadx=26, thready=1
problem_size.n()=32 , threadx=27, thready=1
problem_size.n()=32 , threadx=28, thready=1
problem_size.n()=32 , threadx=29, thready=1
problem_size.n()=32 , threadx=30, thready=1
problem_size.n()=32 , threadx=31, thready=1
problem_size.n()=32 , threadx=0, thready=3
problem_size.n()=32 , threadx=1, thready=3
problem_size.n()=32 , threadx=2, thready=3
problem_size.n()=32 , threadx=3, thready=3
problem_size.n()=32 , threadx=4, thready=3
problem_size.n()=32 , threadx=5, thready=3
problem_size.n()=32 , threadx=6, thready=3
problem_size.n()=32 , threadx=7, thready=3
problem_size.n()=32 , threadx=8, thready=3
problem_size.n()=32 , threadx=9, thready=3
problem_size.n()=32 , threadx=10, thready=3
problem_size.n()=32 , threadx=11, thready=3
problem_size.n()=32 , threadx=12, thready=3
problem_size.n()=32 , threadx=13, thready=3
problem_size.n()=32 , threadx=14, thready=3
problem_size.n()=32 , threadx=15, thready=3
problem_size.n()=32 , threadx=16, thready=3
problem_size.n()=32 , threadx=17, thready=3
problem_size.n()=32 , threadx=18, thready=3
problem_size.n()=32 , threadx=19, thready=3
problem_size.n()=32 , threadx=20, thready=3
problem_size.n()=32 , threadx=21, thready=3
problem_size.n()=32 , threadx=22, thready=3
problem_size.n()=32 , threadx=23, thready=3
problem_size.n()=32 , threadx=24, thready=3
problem_size.n()=32 , threadx=25, thready=3
problem_size.n()=32 , threadx=26, thready=3
problem_size.n()=32 , threadx=27, thready=3
problem_size.n()=32 , threadx=28, thready=3
problem_size.n()=32 , threadx=29, thready=3
problem_size.n()=32 , threadx=30, thready=3
problem_size.n()=32 , threadx=31, thready=3
problem_size.n()=32 , threadx=0, thready=3
problem_size.n()=32 , threadx=1, thready=3
problem_size.n()=32 , threadx=2, thready=3
problem_size.n()=32 , threadx=3, thready=3
problem_size.n()=32 , threadx=4, thready=3
problem_size.n()=32 , threadx=5, thready=3
problem_size.n()=32 , threadx=6, thready=3
problem_size.n()=32 , threadx=7, thready=3
problem_size.n()=32 , threadx=8, thready=3
problem_size.n()=32 , threadx=9, thready=3
problem_size.n()=32 , threadx=10, thready=3
problem_size.n()=32 , threadx=11, thready=3
problem_size.n()=32 , threadx=12, thready=3
problem_size.n()=32 , threadx=13, thready=3
problem_size.n()=32 , threadx=14, thready=3
problem_size.n()=32 , threadx=15, thready=3
problem_size.n()=32 , threadx=16, thready=3
problem_size.n()=32 , threadx=17, thready=3
problem_size.n()=32 , threadx=18, thready=3
problem_size.n()=32 , threadx=19, thready=3
problem_size.n()=32 , threadx=20, thready=3
problem_size.n()=32 , threadx=21, thready=3
problem_size.n()=32 , threadx=22, thready=3
problem_size.n()=32 , threadx=23, thready=3
problem_size.n()=32 , threadx=24, thready=3
problem_size.n()=32 , threadx=25, thready=3
problem_size.n()=32 , threadx=26, thready=3
problem_size.n()=32 , threadx=27, thready=3
problem_size.n()=32 , threadx=28, thready=3
problem_size.n()=32 , threadx=29, thready=3
problem_size.n()=32 , threadx=30, thready=3
problem_size.n()=32 , threadx=31, thready=3
problem_size.n()=32 , threadx=0, thready=1
problem_size.n()=32 , threadx=1, thready=1
problem_size.n()=32 , threadx=2, thready=1
problem_size.n()=32 , threadx=3, thready=1
problem_size.n()=32 , threadx=4, thready=1
problem_size.n()=32 , threadx=5, thready=1
problem_size.n()=32 , threadx=6, thready=1
problem_size.n()=32 , threadx=7, thready=1
problem_size.n()=32 , threadx=8, thready=1
problem_size.n()=32 , threadx=9, thready=1
problem_size.n()=32 , threadx=10, thready=1
problem_size.n()=32 , threadx=11, thready=1
problem_size.n()=32 , threadx=12, thready=1
problem_size.n()=32 , threadx=13, thready=1
problem_size.n()=32 , threadx=14, thready=1
problem_size.n()=32 , threadx=15, thready=1
problem_size.n()=32 , threadx=16, thready=1
problem_size.n()=32 , threadx=17, thready=1
problem_size.n()=32 , threadx=18, thready=1
problem_size.n()=32 , threadx=19, thready=1
problem_size.n()=32 , threadx=20, thready=1
problem_size.n()=32 , threadx=21, thready=1
problem_size.n()=32 , threadx=22, thready=1
problem_size.n()=32 , threadx=23, thready=1
problem_size.n()=32 , threadx=24, thready=1
problem_size.n()=32 , threadx=25, thready=1
problem_size.n()=32 , threadx=26, thready=1
problem_size.n()=32 , threadx=27, thready=1
problem_size.n()=32 , threadx=28, thready=1
problem_size.n()=32 , threadx=29, thready=1
problem_size.n()=32 , threadx=30, thready=1
problem_size.n()=32 , threadx=31, thready=1
problem_size.n()=32 , threadx=0, thready=0
problem_size.n()=32 , threadx=1, thready=0
problem_size.n()=32 , threadx=2, thready=0
problem_size.n()=32 , threadx=3, thready=0
problem_size.n()=32 , threadx=4, thready=0
problem_size.n()=32 , threadx=5, thready=0
problem_size.n()=32 , threadx=6, thready=0
problem_size.n()=32 , threadx=7, thready=0
problem_size.n()=32 , threadx=8, thready=0
problem_size.n()=32 , threadx=9, thready=0
problem_size.n()=32 , threadx=10, thready=0
problem_size.n()=32 , threadx=11, thready=0
problem_size.n()=32 , threadx=12, thready=0
problem_size.n()=32 , threadx=13, thready=0
problem_size.n()=32 , threadx=14, thready=0
problem_size.n()=32 , threadx=15, thready=0
problem_size.n()=32 , threadx=16, thready=0
problem_size.n()=32 , threadx=17, thready=0
problem_size.n()=32 , threadx=18, thready=0
problem_size.n()=32 , threadx=19, thready=0
problem_size.n()=32 , threadx=20, thready=0
problem_size.n()=32 , threadx=21, thready=0
problem_size.n()=32 , threadx=22, thready=0
problem_size.n()=32 , threadx=23, thready=0
problem_size.n()=32 , threadx=24, thready=0
problem_size.n()=32 , threadx=25, thready=0
problem_size.n()=32 , threadx=26, thready=0
problem_size.n()=32 , threadx=27, thready=0
problem_size.n()=32 , threadx=28, thready=0
problem_size.n()=32 , threadx=29, thready=0
problem_size.n()=32 , threadx=30, thready=0
problem_size.n()=32 , threadx=31, thready=0
problem_size.n()=32 , threadx=0, thready=2
problem_size.n()=32 , threadx=1, thready=2
problem_size.n()=32 , threadx=2, thready=2
problem_size.n()=32 , threadx=3, thready=2
problem_size.n()=32 , threadx=4, thready=2
problem_size.n()=32 , threadx=5, thready=2
problem_size.n()=32 , threadx=6, thready=2
problem_size.n()=32 , threadx=7, thready=2
problem_size.n()=32 , threadx=8, thready=2
problem_size.n()=32 , threadx=9, thready=2
problem_size.n()=32 , threadx=10, thready=2
problem_size.n()=32 , threadx=11, thready=2
problem_size.n()=32 , threadx=12, thready=2
problem_size.n()=32 , threadx=13, thready=2
problem_size.n()=32 , threadx=14, thready=2
problem_size.n()=32 , threadx=15, thready=2
problem_size.n()=32 , threadx=16, thready=2
problem_size.n()=32 , threadx=17, thready=2
problem_size.n()=32 , threadx=18, thready=2
problem_size.n()=32 , threadx=19, thready=2
problem_size.n()=32 , threadx=20, thready=2
problem_size.n()=32 , threadx=21, thready=2
problem_size.n()=32 , threadx=22, thready=2
problem_size.n()=32 , threadx=23, thready=2
problem_size.n()=32 , threadx=24, thready=2
problem_size.n()=32 , threadx=25, thready=2
problem_size.n()=32 , threadx=26, thready=2
problem_size.n()=32 , threadx=27, thready=2
problem_size.n()=32 , threadx=28, thready=2
problem_size.n()=32 , threadx=29, thready=2
problem_size.n()=32 , threadx=30, thready=2
problem_size.n()=32 , threadx=31, thready=2
problem_size.n()=32 , threadx=0, thready=1
problem_size.n()=32 , threadx=1, thready=1
problem_size.n()=32 , threadx=2, thready=1
problem_size.n()=32 , threadx=3, thready=1
problem_size.n()=32 , threadx=4, thready=1
problem_size.n()=32 , threadx=5, thready=1
problem_size.n()=32 , threadx=6, thready=1
problem_size.n()=32 , threadx=7, thready=1
problem_size.n()=32 , threadx=8, thready=1
problem_size.n()=32 , threadx=9, thready=1
problem_size.n()=32 , threadx=10, thready=1
problem_size.n()=32 , threadx=11, thready=1
problem_size.n()=32 , threadx=12, thready=1
problem_size.n()=32 , threadx=13, thready=1
problem_size.n()=32 , threadx=14, thready=1
problem_size.n()=32 , threadx=15, thready=1
problem_size.n()=32 , threadx=16, thready=1
problem_size.n()=32 , threadx=17, thready=1
problem_size.n()=32 , threadx=18, thready=1
problem_size.n()=32 , threadx=19, thready=1
problem_size.n()=32 , threadx=20, thready=1
problem_size.n()=32 , threadx=21, thready=1
problem_size.n()=32 , threadx=22, thready=1
problem_size.n()=32 , threadx=23, thready=1
problem_size.n()=32 , threadx=24, thready=1
problem_size.n()=32 , threadx=25, thready=1
problem_size.n()=32 , threadx=26, thready=1
problem_size.n()=32 , threadx=27, thready=1
problem_size.n()=32 , threadx=28, thready=1
problem_size.n()=32 , threadx=29, thready=1
problem_size.n()=32 , threadx=30, thready=1
problem_size.n()=32 , threadx=31, thready=1
problem_size.n()=32 , threadx=0, thready=3
problem_size.n()=32 , threadx=1, thready=3
problem_size.n()=32 , threadx=2, thready=3
problem_size.n()=32 , threadx=3, thready=3
problem_size.n()=32 , threadx=4, thready=3
problem_size.n()=32 , threadx=5, thready=3
problem_size.n()=32 , threadx=6, thready=3
problem_size.n()=32 , threadx=7, thready=3
problem_size.n()=32 , threadx=8, thready=3
problem_size.n()=32 , threadx=9, thready=3
problem_size.n()=32 , threadx=10, thready=3
problem_size.n()=32 , threadx=11, thready=3
problem_size.n()=32 , threadx=12, thready=3
problem_size.n()=32 , threadx=13, thready=3
problem_size.n()=32 , threadx=14, thready=3
problem_size.n()=32 , threadx=15, thready=3
problem_size.n()=32 , threadx=16, thready=3
problem_size.n()=32 , threadx=17, thready=3
problem_size.n()=32 , threadx=18, thready=3
problem_size.n()=32 , threadx=19, thready=3
problem_size.n()=32 , threadx=20, thready=3
problem_size.n()=32 , threadx=21, thready=3
problem_size.n()=32 , threadx=22, thready=3
problem_size.n()=32 , threadx=23, thready=3
problem_size.n()=32 , threadx=24, thready=3
problem_size.n()=32 , threadx=25, thready=3
problem_size.n()=32 , threadx=26, thready=3
problem_size.n()=32 , threadx=27, thready=3
problem_size.n()=32 , threadx=28, thready=3
problem_size.n()=32 , threadx=29, thready=3
problem_size.n()=32 , threadx=30, thready=3
problem_size.n()=32 , threadx=31, thready=3
problem_size.n()=32 , threadx=0, thready=3
problem_size.n()=32 , threadx=1, thready=3
problem_size.n()=32 , threadx=2, thready=3
problem_size.n()=32 , threadx=3, thready=3
problem_size.n()=32 , threadx=4, thready=3
problem_size.n()=32 , threadx=5, thready=3
problem_size.n()=32 , threadx=6, thready=3
problem_size.n()=32 , threadx=7, thready=3
problem_size.n()=32 , threadx=8, thready=3
problem_size.n()=32 , threadx=9, thready=3
problem_size.n()=32 , threadx=10, thready=3
problem_size.n()=32 , threadx=11, thready=3
problem_size.n()=32 , threadx=12, thready=3
problem_size.n()=32 , threadx=13, thready=3
problem_size.n()=32 , threadx=14, thready=3
problem_size.n()=32 , threadx=15, thready=3
problem_size.n()=32 , threadx=16, thready=3
problem_size.n()=32 , threadx=17, thready=3
problem_size.n()=32 , threadx=18, thready=3
problem_size.n()=32 , threadx=19, thready=3
problem_size.n()=32 , threadx=20, thready=3
problem_size.n()=32 , threadx=21, thready=3
problem_size.n()=32 , threadx=22, thready=3
problem_size.n()=32 , threadx=23, thready=3
problem_size.n()=32 , threadx=24, thready=3
problem_size.n()=32 , threadx=25, thready=3
problem_size.n()=32 , threadx=26, thready=3
problem_size.n()=32 , threadx=27, thready=3
problem_size.n()=32 , threadx=28, thready=3
problem_size.n()=32 , threadx=29, thready=3
problem_size.n()=32 , threadx=30, thready=3
problem_size.n()=32 , threadx=31, thready=3
problem_size.n()=32 , threadx=0, thready=1
problem_size.n()=32 , threadx=1, thready=1
problem_size.n()=32 , threadx=2, thready=1
problem_size.n()=32 , threadx=3, thready=1
problem_size.n()=32 , threadx=4, thready=1
problem_size.n()=32 , threadx=5, thready=1
problem_size.n()=32 , threadx=6, thready=1
problem_size.n()=32 , threadx=7, thready=1
problem_size.n()=32 , threadx=8, thready=1
problem_size.n()=32 , threadx=9, thready=1
problem_size.n()=32 , threadx=10, thready=1
problem_size.n()=32 , threadx=11, thready=1
problem_size.n()=32 , threadx=12, thready=1
problem_size.n()=32 , threadx=13, thready=1
problem_size.n()=32 , threadx=14, thready=1
problem_size.n()=32 , threadx=15, thready=1
problem_size.n()=32 , threadx=16, thready=1
problem_size.n()=32 , threadx=17, thready=1
problem_size.n()=32 , threadx=18, thready=1
problem_size.n()=32 , threadx=19, thready=1
problem_size.n()=32 , threadx=20, thready=1
problem_size.n()=32 , threadx=21, thready=1
problem_size.n()=32 , threadx=22, thready=1
problem_size.n()=32 , threadx=23, thready=1
problem_size.n()=32 , threadx=24, thready=1
problem_size.n()=32 , threadx=25, thready=1
problem_size.n()=32 , threadx=26, thready=1
problem_size.n()=32 , threadx=27, thready=1
problem_size.n()=32 , threadx=28, thready=1
problem_size.n()=32 , threadx=29, thready=1
problem_size.n()=32 , threadx=30, thready=1
problem_size.n()=32 , threadx=31, thready=1
problem_size.n()=32 , threadx=0, thready=0
problem_size.n()=32 , threadx=1, thready=0
problem_size.n()=32 , threadx=2, thready=0
problem_size.n()=32 , threadx=3, thready=0
problem_size.n()=32 , threadx=4, thready=0
problem_size.n()=32 , threadx=5, thready=0
problem_size.n()=32 , threadx=6, thready=0
problem_size.n()=32 , threadx=7, thready=0
problem_size.n()=32 , threadx=8, thready=0
problem_size.n()=32 , threadx=9, thready=0
problem_size.n()=32 , threadx=10, thready=0
problem_size.n()=32 , threadx=11, thready=0
problem_size.n()=32 , threadx=12, thready=0
problem_size.n()=32 , threadx=13, thready=0
problem_size.n()=32 , threadx=14, thready=0
problem_size.n()=32 , threadx=15, thready=0
problem_size.n()=32 , threadx=16, thready=0
problem_size.n()=32 , threadx=17, thready=0
problem_size.n()=32 , threadx=18, thready=0
problem_size.n()=32 , threadx=19, thready=0
problem_size.n()=32 , threadx=20, thready=0
problem_size.n()=32 , threadx=21, thready=0
problem_size.n()=32 , threadx=22, thready=0
problem_size.n()=32 , threadx=23, thready=0
problem_size.n()=32 , threadx=24, thready=0
problem_size.n()=32 , threadx=25, thready=0
problem_size.n()=32 , threadx=26, thready=0
problem_size.n()=32 , threadx=27, thready=0
problem_size.n()=32 , threadx=28, thready=0
problem_size.n()=32 , threadx=29, thready=0
problem_size.n()=32 , threadx=30, thready=0
problem_size.n()=32 , threadx=31, thready=0
problem_size.n()=32 , threadx=0, thready=0
problem_size.n()=32 , threadx=1, thready=0
problem_size.n()=32 , threadx=2, thready=0
problem_size.n()=32 , threadx=3, thready=0
problem_size.n()=32 , threadx=4, thready=0
problem_size.n()=32 , threadx=5, thready=0
problem_size.n()=32 , threadx=6, thready=0
problem_size.n()=32 , threadx=7, thready=0
problem_size.n()=32 , threadx=8, thready=0
problem_size.n()=32 , threadx=9, thready=0
problem_size.n()=32 , threadx=10, thready=0
problem_size.n()=32 , threadx=11, thready=0
problem_size.n()=32 , threadx=12, thready=0
problem_size.n()=32 , threadx=13, thready=0
problem_size.n()=32 , threadx=14, thready=0
problem_size.n()=32 , threadx=15, thready=0
problem_size.n()=32 , threadx=16, thready=0
problem_size.n()=32 , threadx=17, thready=0
problem_size.n()=32 , threadx=18, thready=0
problem_size.n()=32 , threadx=19, thready=0
problem_size.n()=32 , threadx=20, thready=0
problem_size.n()=32 , threadx=21, thready=0
problem_size.n()=32 , threadx=22, thready=0
problem_size.n()=32 , threadx=23, thready=0
problem_size.n()=32 , threadx=24, thready=0
problem_size.n()=32 , threadx=25, thready=0
problem_size.n()=32 , threadx=26, thready=0
problem_size.n()=32 , threadx=27, thready=0
problem_size.n()=32 , threadx=28, thready=0
problem_size.n()=32 , threadx=29, thready=0
problem_size.n()=32 , threadx=30, thready=0
problem_size.n()=32 , threadx=31, thready=0
problem_size.n()=32 , threadx=0, thready=2
problem_size.n()=32 , threadx=1, thready=2
problem_size.n()=32 , threadx=2, thready=2
problem_size.n()=32 , threadx=3, thready=2
problem_size.n()=32 , threadx=4, thready=2
problem_size.n()=32 , threadx=5, thready=2
problem_size.n()=32 , threadx=6, thready=2
problem_size.n()=32 , threadx=7, thready=2
problem_size.n()=32 , threadx=8, thready=2
problem_size.n()=32 , threadx=9, thready=2
problem_size.n()=32 , threadx=10, thready=2
problem_size.n()=32 , threadx=11, thready=2
problem_size.n()=32 , threadx=12, thready=2
problem_size.n()=32 , threadx=13, thready=2
problem_size.n()=32 , threadx=14, thready=2
problem_size.n()=32 , threadx=15, thready=2
problem_size.n()=32 , threadx=16, thready=2
problem_size.n()=32 , threadx=17, thready=2
problem_size.n()=32 , threadx=18, thready=2
problem_size.n()=32 , threadx=19, thready=2
problem_size.n()=32 , threadx=20, thready=2
problem_size.n()=32 , threadx=21, thready=2
problem_size.n()=32 , threadx=22, thready=2
problem_size.n()=32 , threadx=23, thready=2
problem_size.n()=32 , threadx=24, thready=2
problem_size.n()=32 , threadx=25, thready=2
problem_size.n()=32 , threadx=26, thready=2
problem_size.n()=32 , threadx=27, thready=2
problem_size.n()=32 , threadx=28, thready=2
problem_size.n()=32 , threadx=29, thready=2
problem_size.n()=32 , threadx=30, thready=2
problem_size.n()=32 , threadx=31, thready=2
problem_size.n()=32 , threadx=0, thready=2
problem_size.n()=32 , threadx=1, thready=2
problem_size.n()=32 , threadx=2, thready=2
problem_size.n()=32 , threadx=3, thready=2
problem_size.n()=32 , threadx=4, thready=2
problem_size.n()=32 , threadx=5, thready=2
problem_size.n()=32 , threadx=6, thready=2
